Taxi Available throughout SG,temp_value,humidity_value,rainfall_value,IsWeekend,Hour
1924.0,27.1,84.1,0.0,0.0,24.0
2259.0,27.3,82.5,0.0,0.0,23.0
2400.0,27.4,81.2,0.0,0.0,22.0
2677.0,27.5,81.9,0.0,0.0,21.0
2437.0,27.7,78.0,0.0,0.0,20.0
1479.0,28.3,74.4,0.0,0.0,19.0
1765.0,29.0,70.5,0.0,0.0,18.0
1877.0,29.4,68.6,0.0,0.0,17.0
1908.0,29.7,64.8,0.0,0.0,16.0
2046.0,29.8,66.9,0.0,0.0,15.0
1576.0,30.2,64.3,0.0,0.0,14.0
2000.0,30.1,64.4,0.0,0.0,13.0
2270.0,30.0,67.3,0.0,0.0,12.0
2500.0,29.1,72.0,0.0,0.0,11.0
2406.0,27.9,76.8,0.0,0.0,10.0
2428.0,27.1,81.9,0.0,0.0,9.0
1826.0,26.6,84.2,0.0,0.0,8.0
1500.0,26.2,86.5,0.0,0.0,7.0
1617.0,26.1,86.5,0.0,0.0,6.0
1688.0,26.0,87.7,0.0,0.0,5.0
1678.0,26.1,86.7,0.0,0.0,4.0
1741.0,26.3,85.9,0.0,0.0,3.0
1961.0,26.6,85.4,0.0,0.0,2.0
1626.0,26.8,84.5,0.0,0.0,1.0
2199.0,27.0,82.8,0.0,0.0,24.0
2147.0,27.1,83.0,0.0,0.0,23.0
2160.0,27.2,82.1,0.0,0.0,22.0
2391.0,27.5,80.3,0.0,0.0,21.0
2694.0,27.7,75.8,0.0,0.0,20.0
2220.0,28.6,70.0,0.0,0.0,19.0
2067.0,29.3,65.8,0.0,0.0,18.0
2088.0,29.9,65.2,0.0,0.0,17.0
2342.0,30.1,59.7,0.0,0.0,16.0
2385.0,30.1,64.3,0.0,0.0,15.0
1949.0,30.0,64.8,0.0,0.0,14.0
2411.0,30.0,65.6,0.0,0.0,13.0
2280.0,29.7,67.7,0.0,0.0,12.0
2500.0,28.5,73.8,0.0,0.0,11.0
2444.0,28.0,77.5,0.0,0.0,10.0
2145.0,27.0,84.6,0.0,0.0,9.0
1573.0,26.6,86.0,0.0,0.0,8.0
1685.0,26.7,85.4,0.0,0.0,7.0
1712.0,26.4,88.1,0.0,0.0,6.0
1659.0,26.4,87.4,0.0,0.0,5.0
1710.0,26.5,87.0,0.0,0.0,4.0
1399.0,26.5,87.2,0.0,0.0,3.0
2042.0,26.6,86.7,0.0,0.0,2.0
2012.0,26.7,86.6,0.0,0.0,1.0
2395.0,26.8,85.4,0.0,0.0,24.0
2311.0,26.9,84.1,0.0,0.0,23.0
2102.0,27.0,82.9,0.0,0.0,22.0
2500.0,27.3,80.5,0.0,0.0,21.0
2584.0,27.5,79.4,0.0,0.0,20.0
2289.0,28.1,74.1,0.0,0.0,19.0
2218.0,29.2,69.1,0.0,0.0,18.0
2192.0,29.0,68.3,0.0,0.0,17.0
2357.0,29.0,68.6,0.0,0.0,16.0
2340.0,29.2,67.0,0.0,0.0,15.0
972.0,29.1,68.6,0.0,0.0,14.0
2595.0,29.2,68.9,0.0,0.0,13.0
2044.0,28.8,68.8,0.0,0.0,12.0
2112.0,28.3,76.7,0.0,0.0,11.0
2427.0,27.3,80.9,0.0,0.0,10.0
1551.0,26.6,84.6,0.0,0.0,9.0
1598.0,26.2,86.8,0.0,0.0,8.0
1582.0,25.9,87.7,0.0,0.0,7.0
1463.0,26.2,86.8,0.0,0.0,6.0
1595.0,26.3,86.9,0.0,0.0,5.0
1653.0,26.1,87.0,0.0,0.0,4.0
1814.0,26.3,86.4,0.0,0.0,3.0
1973.0,26.5,86.0,0.0,0.0,2.0
2092.0,26.5,86.4,0.0,0.0,1.0
2276.0,26.4,87.4,0.0,0.0,24.0
2296.0,26.3,87.3,0.0,0.0,23.0
2103.0,26.3,85.2,0.0,0.0,22.0
2515.0,26.4,84.1,0.0,0.0,21.0
2721.0,26.8,85.7,0.0,0.0,20.0
2540.0,27.1,82.7,0.0,0.0,19.0
2241.0,27.6,81.6,0.0,0.0,18.0
2281.0,28.0,77.2,0.0,0.0,17.0
2526.0,28.0,75.7,0.0,0.0,16.0
2500.0,28.1,77.2,0.0,0.0,15.0
2129.0,28.3,76.7,0.0,0.0,14.0
2559.0,27.5,81.3,0.0,0.0,13.0
2567.0,27.7,79.8,0.0,0.0,12.0
2517.0,27.2,83.3,0.0,0.0,11.0
2367.0,27.1,84.4,0.0,0.0,10.0
1734.0,26.4,86.6,0.0,0.0,9.0
1581.0,25.9,87.6,0.0,0.0,8.0
1603.0,25.9,86.3,0.0,0.0,7.0
1476.0,26.2,87.5,0.0,0.0,6.0
1437.0,26.1,87.0,0.0,0.0,5.0
1520.0,26.1,86.7,0.0,0.0,4.0
1477.0,26.3,86.0,0.0,0.0,3.0
1571.0,26.4,84.9,0.0,0.0,2.0
1769.0,26.5,84.4,0.0,0.0,1.0
