Taxi Available throughout SG,temp_value,humidity_value,rainfall_value,peak_period,Average Taxi Availability,IsWeekend,Hour
0.5126276,0.80177516,0.8538071,0.0,1.0,0.41760108,0.0,1.0
0.602633,0.8076923,0.83756346,0.0,1.0,0.37172952,0.0,0.95652175
0.64051586,0.8106509,0.82436544,0.0,1.0,0.4104655,0.0,0.9130435
0.7149382,0.8136095,0.8314721,0.0,1.0,0.4074074,0.0,0.8695652
0.6504567,0.8195267,0.79187816,0.0,1.0,0.34760448,0.0,0.82608694
0.39306825,0.8372781,0.75532997,0.0,1.0,0.32755694,0.0,0.7826087
0.46990865,0.8579882,0.71573603,0.0,1.0,0.3917771,0.0,0.73913044
0.5,0.8698225,0.69644666,0.0,0.0,0.47400612,0.0,0.6956522
0.50832886,0.8786983,0.657868,0.0,0.0,0.51138294,0.0,0.65217394
0.5454057,0.8816568,0.67918783,0.0,0.0,0.42779475,0.0,0.6086956
0.4191295,0.89349115,0.6527919,0.0,0.0,0.37376824,0.0,0.5652174
0.5330467,0.89053255,0.6538071,0.0,0.0,0.42847437,0.0,0.5217391
0.6055884,0.88757396,0.68324876,0.0,0.0,0.61128104,0.0,0.47826087
0.66738313,0.8609468,0.7309645,0.0,0.0,0.6296297,0.0,0.4347826
0.6421279,0.8254438,0.77969545,0.0,0.0,0.6452599,0.0,0.39130434
0.6480387,0.80177516,0.8314721,0.0,0.0,0.6330275,0.0,0.3478261
0.4862977,0.7869823,0.8548223,0.0,0.0,0.57016647,0.0,0.3043478
0.39871037,0.775148,0.8781726,0.0,0.0,0.45837578,0.0,0.26086956
0.43014508,0.7721894,0.8781726,0.0,0.0,0.39687395,0.0,0.2173913
0.44922084,0.7692308,0.8903553,0.0,0.0,0.34828407,0.0,0.17391305
0.44653413,0.7721894,0.880203,0.0,0.0,0.3115868,0.0,0.13043478
0.4634605,0.7781065,0.8720812,0.0,0.0,0.3533809,0.0,0.08695652
0.5225685,0.7869823,0.8670051,0.0,0.0,0.3404689,0.0,0.04347826
0.43256313,0.7928994,0.857868,0.0,0.0,0.30037376,0.0,0.0
0.5865126,0.79881656,0.8406092,0.0,1.0,0.3377506,0.0,1.0
0.57254165,0.80177516,0.84263957,0.0,1.0,0.36799183,0.0,0.95652175
0.57603437,0.80473375,0.83350253,0.0,1.0,0.3788651,0.0,0.9130435
0.6380978,0.8136095,0.81522846,0.0,1.0,0.40231055,0.0,0.8695652
0.71950567,0.8195267,0.7695432,0.0,1.0,0.46687055,0.0,0.82608694
0.59215474,0.84615386,0.7106599,0.0,1.0,0.5062861,0.0,0.7826087
0.5510478,0.8668639,0.6680203,0.0,1.0,0.46347263,0.0,0.73913044
0.55669,0.8846154,0.6619289,0.0,0.0,0.50118923,0.0,0.6956522
0.6249328,0.89053255,0.6060914,0.0,0.0,0.5908937,0.0,0.65217394
0.63648576,0.89053255,0.6527919,0.0,0.0,0.5453619,0.0,0.6086956
0.51934445,0.88757396,0.657868,0.0,0.0,0.5494394,0.0,0.5652174
0.64347124,0.88757396,0.6659898,0.0,0.0,0.5589534,0.0,0.5217391
0.6082751,0.8786983,0.6873096,0.0,0.0,0.5440027,0.0,0.47826087
0.66738313,0.84319526,0.7492386,0.0,0.0,0.49439347,0.0,0.4347826
0.65233743,0.8284024,0.78680205,0.0,0.0,0.470948,0.0,0.39130434
0.5720043,0.79881656,0.85888326,0.0,0.0,0.52633363,0.0,0.3478261
0.4183235,0.7869823,0.87309647,0.0,0.0,0.5147808,0.0,0.3043478
0.44841483,0.7899409,0.8670051,0.0,0.0,0.49405366,0.0,0.26086956
0.455669,0.7810651,0.8944162,0.0,0.0,0.4077472,0.0,0.2173913
0.44142935,0.7810651,0.8873097,0.0,0.0,0.34658512,0.0,0.17391305
0.45513165,0.7840237,0.88324875,0.0,0.0,0.3510024,0.0,0.13043478
0.37157443,0.7840237,0.8852792,0.0,0.0,0.36765206,0.0,0.08695652
0.544331,0.7869823,0.880203,0.0,0.0,0.34964323,0.0,0.04347826
0.5362708,0.7899409,0.8791878,0.0,0.0,0.3917771,0.0,0.0
0.6391725,0.7928994,0.8670051,0.0,1.0,0.45259938,0.0,1.0
0.616604,0.79585797,0.8538071,0.0,1.0,0.43119267,0.0,0.95652175
0.5604514,0.79881656,0.8416244,0.0,1.0,0.37376824,0.0,0.9130435
0.66738313,0.8076923,0.8172589,0.0,1.0,0.4135236,0.0,0.8695652
0.68995166,0.8136095,0.80609137,0.0,1.0,0.45395857,0.0,0.82608694
0.61069316,0.831361,0.7522842,0.0,1.0,0.4872579,0.0,0.7826087
0.5916174,0.8639054,0.7015228,0.0,1.0,0.52769285,0.0,0.73913044
0.5846319,0.8579882,0.69340104,0.0,0.0,0.5776419,0.0,0.6956522
0.62896293,0.8579882,0.69644666,0.0,0.0,0.6493374,0.0,0.65217394
0.6243955,0.8639054,0.680203,0.0,0.0,0.5603126,0.0,0.6086956
0.25685117,0.8609468,0.69644666,0.0,0.0,0.53380907,0.0,0.5652174
0.69290704,0.8639054,0.6994924,0.0,0.0,0.53244984,0.0,0.5217391
0.54486835,0.852071,0.6984772,0.0,0.0,0.52395517,0.0,0.47826087
0.5631381,0.8372781,0.77868015,0.0,0.0,0.6153585,0.0,0.4347826
0.64777,0.8076923,0.8213198,0.0,0.0,0.5888549,0.0,0.39130434
0.41241267,0.7869823,0.85888326,0.0,0.0,0.46653074,0.0,0.3478261
0.4250403,0.775148,0.8812183,0.0,0.0,0.43730888,0.0,0.3043478
0.42074153,0.7662722,0.8903553,0.0,0.0,0.4328916,0.0,0.26086956
0.38876948,0.775148,0.8812183,0.0,0.0,0.40910637,0.0,0.2173913
0.42423427,0.7781065,0.8822335,0.0,0.0,0.35507986,0.0,0.17391305
0.4398173,0.7721894,0.88324875,0.0,0.0,0.37478763,0.0,0.13043478
0.48307362,0.7781065,0.8771574,0.0,0.0,0.4182807,0.0,0.08695652
0.5257926,0.7840237,0.87309647,0.0,0.0,0.40197077,0.0,0.04347826
0.55776465,0.7840237,0.8771574,0.0,0.0,0.3312946,0.0,0.0
0.60720044,0.7810651,0.8873097,0.0,1.0,0.44750255,0.0,1.0
0.61257386,0.7781065,0.8862944,0.0,1.0,0.39619434,0.0,0.95652175
0.56072,0.7781065,0.8649746,0.0,1.0,0.4271152,0.0,0.9130435
0.67141324,0.7810651,0.8538071,0.0,1.0,0.47196737,0.0,0.8695652
